2026-05-22 14:12:34 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Plutonio%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:36 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22El+De+Las+R%27s%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:37 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Chico+da+Tina%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:38 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Justin+Timberlake%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:39 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Fantasm%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:40 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Dillaz%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:42 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Papillon%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:43 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Joint+One%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:44 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Lhast%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:45 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Regula%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:47 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Zara+G%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:48 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Future%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:49 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22bapcat%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:50 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22ATJ%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
